,Image,Object,Name,Class,Parent,ROI,Centroid X ?m,Centroid Y ?m,Tissue_Area,Num Detections,Area ?m^2,Perimeter ?m
83,Td73_3D_MCAO_Str.tif,e2cb2071-382f-44ca-9245-1dfcd1ea96f1,Positive,Positive,Image,Geometry,1861,3108.7,16368358,4078,16368358.4,31031.8
84,Td73_3D_MCAO_Str.tif,5ece0d8d-e8f5-447c-8bff-4b4c2b81b492,Ignore*,Ignore*,Image,Geometry,1058.6,3110,0,12,4589354.1,38586.4
85,Td75_3D_MCAO_Str.tif,4b36e235-caf0-4250-ab1b-95c1d6d4efc4,Ignore*,Ignore*,Image,Geometry,1059.2,3053.9,0,28,11100225.7,44048.9
86,Td75_3D_MCAO_Str.tif,d1e6135d-c87d-49e6-a711-e5bb11f3fee9,Positive,Positive,Image,Geometry,3298.8,3139.6,19975004,5128,19975003.1,36494.4
87,Td76_3D_MCAO_Str.tif,f4ea2073-2a53-45fe-bc8f-bafa87fcdf1b,Ignore*,Ignore*,Image,Geometry,879.98,2887.9,0,13,6193432.9,38470.2
88,Td76_3D_MCAO_Str.tif,aa0e280b-33b3-486e-8dee-f526eddde0ae,Positive,Positive,Image,Geometry,2249.9,3188.2,17293658,3476,17293658.7,32659
89,Td77_3D_MCAO_Str.tif,d74370eb-f20e-41ec-bbb2-c50de92c725f,Ignore*,Ignore*,Image,Geometry,1401.4,3063.2,0,15,11346747.3,104717.9
90,Td77_3D_MCAO_Str.tif,2084cdec-c03f-4e15-be50-fb982762d9b1,Positive,Positive,Image,Geometry,2991.6,3137.4,18283122,4483,18283122.1,100068.9
91,Td78_3D_MCAO_Str.tif,ef56fd97-5658-498a-abf5-dd70b81debfd,Ignore*,Ignore*,Image,Geometry,1247,3069.1,0,21,10887474.2,45676.1
92,Td78_3D_MCAO_Str.tif,696fc349-f5d7-4356-b83a-065be0f6c90f,Positive,Positive,Image,Geometry,3173.9,3130.5,20187754,4109,20187754.6,31380.5
93,Td79_3D_MCAO_Str.tif,db4fb587-d9c6-43de-865c-2be7f150868b,Ignore*,Ignore*,Image,Geometry,999.08,3357.6,0,7,6521002.7,57647.1
94,Td79_3D_MCAO_Str.tif,04fd00b2-4d24-49e7-be9c-27d91b56358c,Positive,Positive,Image,Geometry,1822.1,3894.3,17438870,3175,17438870,51952.2
95,Td80_7D_SHAM_Str.tif,7c63843d-f43c-4632-8736-bdadd9d24529,Positive,Positive,Image,Geometry,1855.9,2969.2,14592052,667,14592052.2,25453.1
96,Td80_7D_SHAM_Str.tif,704bb825-3063-4482-92fd-025750f9d510,Ignore*,Ignore*,Image,Geometry,885.87,3495.2,0,4,5281640.7,29520.9
97,Td81_7D_SHAM_Str.tif,8ed399fe-118b-49b9-a86e-8548c6e04f7d,Ignore*,Ignore*,Image,Geometry,927.34,3004.4,0,13,6409561.4,31961.6
98,Td81_7D_SHAM_Str.tif,8a64e8ef-db29-43d7-97e4-d8743369954e,Positive,Positive,Image,Geometry,1882.9,3160.2,13102792,377,13102791.6,24755.7
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
