,Image,Object,Name,Class,Parent,ROI,Centroid X ?m,Centroid Y ?m,Tisue_Area,Num Detections,Num Negatie,Num Positive,Positive %,Num Positive per mm^2,Area ?m^2,Perimeter ?m
72,Td66_7D_SHAM_Str.tif,b9aa2a29-b8e3-4d4f-9223-4ebebe7795b9,Ignore*,Ignore*,Image,Geometry,822.68,3280.6,0,7,4,3,42.86,0.5039,5953665.3,38005.3
73,Td67_7D_SHAM_Str.tif,af1c3faf-3845-4f06-abbd-a6d9287e9962,Ignore*,Ignore*,Image,Geometry,820.82,2882.4,0,16,10,6,37.5,1.186,5058758.2,38818.8
74,Td67_7D_SHAM_Str.tif,8cb4dbf6-0aa0-4dde-894a-4759362ca4cc,Positive,Positive,Image,Geometry,1863.5,3186.4,14814935,1589,1051,538,33.86,36.31,14814934.7,33356.3
75,Td68_7D_SHAM_Str.tif,869955dc-9f49-41d0-8114-4feafe0825cb,Positive,Positive,Image,Geometry,2019.5,3056.2,14578544,1837,1272,565,30.76,38.76,14578544.1,24639.5
76,Td68_7D_SHAM_Str.tif,bb91c689-3ddf-4904-8b32-bb4f6f4cc3aa,Ignore*,Ignore*,Image,Geometry,921.26,3229.7,0,9,5,4,44.44,0.627,6379168.4,32310.3
77,Td69_14D_SHAM_Str.tif,5e26af49-8ba1-4138-ab7b-96e377d0ada6,Ignore*,Ignore*,Image,Geometry,783.4,2918.7,0,5,2,3,60,0.5129,5848978.1,31961.6
78,Td69_14D_SHAM_Str.tif,62209c15-2d9a-47eb-ab59-405a4c77abe8,Positive,Positive,Image,Geometry,2034.4,3182.7,15108734,1905,1164,741,38.9,49.04,15108734.4,26499.1
79,Td71_3D_MCAO_Str.tif,3f2776e0-4508-454f-b240-f37dfb29dfd8,Positive,Positive,Image,Geometry,1761.6,2944.1,15213422,979,320,659,67.31,43.32,15213421.7,22663.7
80,Td71_3D_MCAO_Str.tif,c9851669-33c9-4f21-8355-e891df241631,Ignore*,Ignore*,Image,Geometry,1482.9,3545.7,0,1,0,1,100,0.1741,5744290.8,30799.4
81,Td72_3D_MCAO_Str.tif,276b3074-a576-4d71-bca3-6ef15f9dead4,Positive,Positive,Image,Geometry,2055.7,2668.7,10472102,186,63,123,66.13,11.75,10472102.2,36494.4
82,Td72_3D_MCAO_Str.tif,6c0a3327-3b9b-44bf-8dac-9cb3ccb30dd4,Ignore*,Ignore*,Image,Geometry,1315.2,3548.7,0,2,0,2,100,0.1907,10485610.3,44862.5
83,Td73_3D_MCAO_Str.tif,6526aa32-1b6a-4cef-8d1e-7b9a306911ef,Positive,Positive,Image,Geometry,1861,3108.7,16368358,692,297,395,57.08,24.13,16368358.4,31031.8
84,Td73_3D_MCAO_Str.tif,b4cbc207-cfbe-44a8-97ce-b6daa415084a,Ignore*,Ignore*,Image,Geometry,1058.6,3110,0,3,2,1,33.33,0.2179,4589354.1,38586.4
85,Td75_3D_MCAO_Str.tif,4c270285-3eae-47d8-abb6-789f3f8ddd50,Ignore*,Ignore*,Image,Geometry,1059.2,3053.9,0,2,2,0,0,0,11100225.7,44048.9
